athlete_id,name,general_gamesPlayed,general_fumblesForced,general_fumblesRecovered,general_fumblesTouchdowns,passing_completions,passing_passingAttempts,passing_completionPct,passing_passingYards,passing_yardsPerPassAttempt,passing_passingYardsPerGame,passing_longPassing,passing_passingTouchdowns,passing_interceptions,passing_sacks,passing_sackYardsLost,passing_QBR,passing_QBRating,passing_adjQBR,rushing_rushingAttempts,rushing_rushingYards,rushing_yardsPerRushAttempt,rushing_longRushing,rushing_rushingBigPlays,rushing_rushingTouchdowns,rushing_rushingYardsPerGame,rushing_rushingFumbles,rushing_rushingFumblesLost,rushing_rushingFirstDowns,receiving_receptions,receiving_receivingTargets,receiving_receivingYards,receiving_yardsPerReception,receiving_receivingTouchdowns,receiving_longReception,receiving_receivingBigPlays,receiving_receivingYardsPerGame,receiving_receivingFumbles,receiving_receivingFumblesLost,receiving_receivingYardsAfterCatch,receiving_receivingFirstDowns,defensive_soloTackles,defensive_assistTackles,defensive_totalTackles,defensive_sacks,defensive_sackYards,defensive_tacklesForLoss,defensive_passesDefended,defensive_longInterception,defensiveinterceptions_interceptions,defensiveinterceptions_interceptionYards,defensiveinterceptions_interceptionTouchdowns,scoring_rushingTouchdowns,scoring_receivingTouchdowns,scoring_returnTouchdowns,scoring_totalTouchdowns,scoring_fieldGoals,scoring_kickExtraPoints,scoring_totalTwoPointConvs,scoring_totalPoints,scoring_totalPointsPerGame,returning_kickReturns,returning_kickReturnYards,returning_yardsPerKickReturn,returning_longKickReturn,returning_kickReturnTouchdowns,returning_puntReturns,returning_puntReturnYards,returning_yardsPerPuntReturn,returning_longPuntReturn,returning_puntReturnTouchdowns,returning_puntReturnFairCatches,kicking_fieldGoalsMade,kicking_fieldGoalAttempts,kicking_fieldGoalPct,kicking_longFieldGoalMade,kicking_fieldGoalsMade1_19,kicking_fieldGoalsMade20_29,kicking_fieldGoalsMade30_39,kicking_fieldGoalsMade40_49,kicking_fieldGoalsMade50,kicking_fieldGoalAttempts1_19,kicking_fieldGoalAttempts20_29,kicking_fieldGoalAttempts30_39,kicking_fieldGoalAttempts40_49,kicking_fieldGoalAttempts50,kicking_extraPointsMade,kicking_extraPointAttempts,kicking_extraPointPct,punting_punts,punting_puntYards,punting_longPunt,punting_grossAvgPuntYards,punting_netAvgPuntYards,punting_puntsBlocked,punting_puntsInside20,punting_touchbacks,punting_fairCatches,punting_puntReturns,punting_puntReturnYards,punting_avgPuntReturnYards,team,position,season,fantasy_points_standard,fantasy_points_half_ppr,fantasy_points_ppr
3117251,Christian McCaffrey,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,39.58300018310547,2.66,311.0,1202.0,3.865000009536743,41.0,3.0,10.0,70.70587921142578,1.0,0.0,71.0,102.0,129.0,924.0,9.059000015258789,7.0,39.0,7.0,54.35293960571289,1.0,0.0,720.0,49.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,17.0,0.0,0.0,0.0,102.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,RB,2025,314.6,365.6,416.6
4426515,Puka Nacua,16.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,10.0,105.0,10.5,45.0,1.0,1.0,6.5625,0.0,0.0,5.0,129.0,166.0,1715.0,13.295000076293945,10.0,58.0,27.0,107.1875,1.0,1.0,666.0,80.0,,,,,,,,,,,,1.0,10.0,0.0,11.0,0.0,0.0,0.0,66.0,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAR,WR,2025,246.0,310.5,375.0
4430807,Bijan Robinson,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,287.0,1478.0,5.150000095367432,93.0,8.0,7.0,86.94117736816406,3.0,2.0,63.0,79.0,103.0,820.0,10.380000114440918,4.0,69.0,10.0,48.235294342041016,1.0,1.0,857.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,11.0,0.0,0.0,1.0,68.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,RB,2025,289.8,329.3,368.8
4429795,Jahmyr Gibbs,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,243.0,1223.0,5.0329999923706055,78.0,10.0,13.0,71.94117736816406,2.0,1.0,56.0,77.0,94.0,616.0,8.0,5.0,42.0,7.0,36.235294342041016,0.0,0.0,615.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,18.0,0.0,0.0,0.0,108.0,6.353000164031982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,RB,2025,289.9,328.4,366.9
3918298,Josh Allen,17.0,0.0,0.0,-17.0,319.0,460.0,69.3479995727539,3668.0,7.973999977111816,215.76470947265625,54.0,25.0,10.0,40.0,298.0,65.06,102.15599822998047,65.42,112.0,579.0,5.170000076293945,40.0,5.0,14.0,34.05882263183594,6.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,84.0,4.940999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUF,QB,2025,364.62,364.62,364.62
4242335,Jonathan Taylor,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,323.0,1585.0,4.9070000648498535,83.0,9.0,18.0,93.23529052734375,1.0,1.0,84.0,46.0,55.0,378.0,8.217000007629395,2.0,43.0,3.0,22.235294342041016,1.0,0.0,434.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,20.0,0.0,0.0,1.0,122.0,7.176000118255615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND,RB,2025,314.3,337.3,360.3
4430878,Jaxon Smith-Njigba,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.58300018310547,,7.0,36.0,5.14300012588501,11.0,0.0,0.0,2.117647171020508,0.0,0.0,2.0,119.0,163.0,1793.0,15.067000389099121,10.0,63.0,27.0,105.47058868408203,3.0,1.0,528.0,79.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,60.0,3.5290000438690186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,WR,2025,240.9,300.4,359.9
12483,Matthew Stafford,17.0,0.0,0.0,-30.0,388.0,597.0,64.99199676513672,4707.0,7.883999824523926,276.8823547363281,88.0,46.0,8.0,23.0,150.0,70.99,109.19499969482422,71.17,29.0,1.0,0.03400000184774399,6.0,0.0,0.0,0.05882352963089943,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAR,QB,2025,354.38,354.38,354.38
4431452,Drake Maye,17.0,0.0,0.0,-7.0,354.0,492.0,71.95099639892578,4394.0,8.930999755859375,258.4705810546875,72.0,31.0,8.0,47.0,201.0,78.17,113.48200225830078,77.06,103.0,450.0,4.36899995803833,28.0,2.0,4.0,26.47058868408203,2.0,0.0,38.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.11764705926179886,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,26.0,1.5290000438690186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,QB,2025,352.96,353.46,353.96
4360310,Trevor Lawrence,17.0,0.0,0.0,0.0,341.0,560.0,60.893001556396484,4007.0,7.15500020980835,235.7058868408203,63.0,29.0,12.0,41.0,247.0,57.14,90.9749984741211,58.32,82.0,359.0,4.377999782562256,21.0,2.0,9.0,21.117647171020508,2.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,56.0,3.2939999103546143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAX,QB,2025,340.17999999999995,340.17999999999995,340.17999999999995
