column,category,stat_name,description
defensive_assistTackles,Defense,Assist Tackles,The number of assists on tackles.
defensive_longInterception,Defense,Long Interception,The amount of yards of the longest interception return.
defensive_passesDefended,Defense,Passes Defended,The total number of passes defended.
defensive_sackYards,Defense,Sack Yards,The number of yards lost from sacks.
defensive_sacks,Defense,Sacks,The total number of sacks.
defensive_soloTackles,Defense,Solo Tackles,The number of times a tackle was made unassisted.
defensive_tacklesForLoss,Defense,Tackles For Loss,The number of tackles that result in a loss of yardage.
defensive_totalTackles,Defense,Total Tackles,The total number of tackles.
defensiveinterceptions_interceptionTouchdowns,Defensive Interceptions,Interception Touchdowns,The number of times an interception is returned for a touchdown.
defensiveinterceptions_interceptionYards,Defensive Interceptions,Interception Yards,The number of yards gained after an interception.
defensiveinterceptions_interceptions,Defensive Interceptions,Interceptions,The total number of interceptions.
general_fumblesForced,General,Forced Fumbles,The total number of forced fumbles.
general_fumblesRecovered,General,Fumbles Recovered,The number of fumbles recovered.
general_fumblesTouchdowns,General,Fumbles Touchdowns,The number of times a fumbles is recovered and returned for a touchdown.
general_gamesPlayed,General,Games Played,Games Played
kicking_extraPointAttempts,Kicking,Extra Point Attempts,The number of extra point attempts.
kicking_extraPointPct,Kicking,Extra Point Percentage,The percentage of extra point attempts that are converted.
kicking_extraPointsMade,Kicking,Extra Points Made,The number of extra point attempts made.
kicking_fieldGoalAttempts,Kicking,Field Goal Attempts,The number of times a field goal is attempted.
kicking_fieldGoalAttempts1_19,Kicking,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.
kicking_fieldGoalAttempts20_29,Kicking,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.
kicking_fieldGoalAttempts30_39,Kicking,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.
kicking_fieldGoalAttempts40_49,Kicking,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.
kicking_fieldGoalAttempts50,Kicking,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.
kicking_fieldGoalPct,Kicking,Field Goal Percentage,The percentage of field goals attempted that are made.
kicking_fieldGoalsMade,Kicking,Field Goal Made,The number of times a field goal is made.
kicking_fieldGoalsMade1_19,Kicking,Field Goals Made 1-19,The number of field goals made from 1-19 yards.
kicking_fieldGoalsMade20_29,Kicking,Field Goals Made 20-29,The number of field goals made from 20-29 yards.
kicking_fieldGoalsMade30_39,Kicking,Field Goals Made 30-39,The number of field goals made from 30-39 yards.
kicking_fieldGoalsMade40_49,Kicking,Field Goals Made 40-49,The number of field goals made from 40-49 yards.
kicking_fieldGoalsMade50,Kicking,Field Goals Made 50+,The number of field goals made from 50+ yards.
kicking_longFieldGoalMade,Kicking,Long Field Goal Made,The distance of the longest field goal made.
passing_QBR,Passing,Total QBR,"Total Quarterback Rating, which values quarterback on all play types on a 0-to-100 scale."
passing_QBRating,Passing,Passer Rating,Passer Rating
passing_adjQBR,Passing,Adjusted QBR,Adjusted Quarterback Rating.
passing_completionPct,Passing,Completion Percentage,The percentage of completed passes.
passing_completions,Passing,Completions,The times a player completes a pass to another player who is eligible to catch a pass.
