team,team_full_name,conf,division
BUF,Buffalo Bills,AFC,AFC East
MIA,Miami Dolphins,AFC,AFC East
NE,New England Patriots,AFC,AFC East
NYJ,New York Jets,AFC,AFC East
BAL,Baltimore Ravens,AFC,AFC North
CIN,Cincinnati Bengals,AFC,AFC North
CLE,Cleveland Browns,AFC,AFC North
PIT,Pittsburgh Steelers,AFC,AFC North
HOU,Houston Texans,AFC,AFC South
IND,Indianapolis Colts,AFC,AFC South
JAX,Jacksonville Jaguars,AFC,AFC South
TEN,Tennessee Titans,AFC,AFC South
DEN,Denver Broncos,AFC,AFC West
KC,Kansas City Chiefs,AFC,AFC West
LAC,Los Angeles Chargers,AFC,AFC West
LV,Las Vegas Raiders,AFC,AFC West
DAL,Dallas Cowboys,NFC,NFC East
NYG,New York Giants,NFC,NFC East
PHI,Philadelphia Eagles,NFC,NFC East
WAS,Washington Commanders,NFC,NFC East
CHI,Chicago Bears,NFC,NFC North
DET,Detroit Lions,NFC,NFC North
GB,Green Bay Packers,NFC,NFC North
MIN,Minnesota Vikings,NFC,NFC North
ATL,Atlanta Falcons,NFC,NFC South
CAR,Carolina Panthers,NFC,NFC South
NO,New Orleans Saints,NFC,NFC South
TB,Tampa Bay Buccaneers,NFC,NFC South
ARI,Arizona Cardinals,NFC,NFC West
LA,Los Angeles Rams,NFC,NFC West
SEA,Seattle Seahawks,NFC,NFC West
SF,San Francisco 49ers,NFC,NFC West
