game_id,season,game_type,week,gameday,team,opponent,team_score,opp_score,is_home,win,loss,tie,point_diff,cum_wins,cum_losses,cum_point_diff
2025_01_ARI_NO,2025,REG,1,2025-09-07,ARI,NO,20.0,13.0,False,True,False,False,7.0,1,0,7.0
2025_02_CAR_ARI,2025,REG,2,2025-09-14,ARI,CAR,27.0,22.0,True,True,False,False,5.0,2,0,12.0
2025_03_ARI_SF,2025,REG,3,2025-09-21,ARI,SF,15.0,16.0,False,False,True,False,-1.0,2,1,11.0
2025_04_SEA_ARI,2025,REG,4,2025-09-25,ARI,SEA,20.0,23.0,True,False,True,False,-3.0,2,2,8.0
2025_05_TEN_ARI,2025,REG,5,2025-10-05,ARI,TEN,21.0,22.0,True,False,True,False,-1.0,2,3,7.0
2025_06_ARI_IND,2025,REG,6,2025-10-12,ARI,IND,27.0,31.0,False,False,True,False,-4.0,2,4,3.0
2025_07_GB_ARI,2025,REG,7,2025-10-19,ARI,GB,23.0,27.0,True,False,True,False,-4.0,2,5,-1.0
2025_09_ARI_DAL,2025,REG,9,2025-11-03,ARI,DAL,27.0,17.0,False,True,False,False,10.0,3,5,9.0
2025_10_ARI_SEA,2025,REG,10,2025-11-09,ARI,SEA,22.0,44.0,False,False,True,False,-22.0,3,6,-13.0
2025_11_SF_ARI,2025,REG,11,2025-11-16,ARI,SF,22.0,41.0,True,False,True,False,-19.0,3,7,-32.0
2025_12_JAX_ARI,2025,REG,12,2025-11-23,ARI,JAX,24.0,27.0,True,False,True,False,-3.0,3,8,-35.0
2025_13_ARI_TB,2025,REG,13,2025-11-30,ARI,TB,17.0,20.0,False,False,True,False,-3.0,3,9,-38.0
2025_14_LA_ARI,2025,REG,14,2025-12-07,ARI,LA,17.0,45.0,True,False,True,False,-28.0,3,10,-66.0
2025_15_ARI_HOU,2025,REG,15,2025-12-14,ARI,HOU,20.0,40.0,False,False,True,False,-20.0,3,11,-86.0
2025_16_ATL_ARI,2025,REG,16,2025-12-21,ARI,ATL,19.0,26.0,True,False,True,False,-7.0,3,12,-93.0
2025_17_ARI_CIN,2025,REG,17,2025-12-28,ARI,CIN,14.0,37.0,False,False,True,False,-23.0,3,13,-116.0
2025_18_ARI_LA,2025,REG,18,2026-01-04,ARI,LA,20.0,37.0,False,False,True,False,-17.0,3,14,-133.0
2025_01_TB_ATL,2025,REG,1,2025-09-07,ATL,TB,20.0,23.0,True,False,True,False,-3.0,0,1,-3.0
2025_02_ATL_MIN,2025,REG,2,2025-09-14,ATL,MIN,22.0,6.0,False,True,False,False,16.0,1,1,13.0
2025_03_ATL_CAR,2025,REG,3,2025-09-21,ATL,CAR,0.0,30.0,False,False,True,False,-30.0,1,2,-17.0
2025_04_WAS_ATL,2025,REG,4,2025-09-28,ATL,WAS,34.0,27.0,True,True,False,False,7.0,2,2,-10.0
2025_06_BUF_ATL,2025,REG,6,2025-10-13,ATL,BUF,24.0,14.0,True,True,False,False,10.0,3,2,0.0
2025_07_ATL_SF,2025,REG,7,2025-10-19,ATL,SF,10.0,20.0,False,False,True,False,-10.0,3,3,-10.0
2025_08_MIA_ATL,2025,REG,8,2025-10-26,ATL,MIA,10.0,34.0,True,False,True,False,-24.0,3,4,-34.0
2025_09_ATL_NE,2025,REG,9,2025-11-02,ATL,NE,23.0,24.0,False,False,True,False,-1.0,3,5,-35.0
2025_10_ATL_IND,2025,REG,10,2025-11-09,ATL,IND,25.0,31.0,False,False,True,False,-6.0,3,6,-41.0
2025_11_CAR_ATL,2025,REG,11,2025-11-16,ATL,CAR,27.0,30.0,True,False,True,False,-3.0,3,7,-44.0
2025_12_ATL_NO,2025,REG,12,2025-11-23,ATL,NO,24.0,10.0,False,True,False,False,14.0,4,7,-30.0
2025_13_ATL_NYJ,2025,REG,13,2025-11-30,ATL,NYJ,24.0,27.0,False,False,True,False,-3.0,4,8,-33.0
2025_14_SEA_ATL,2025,REG,14,2025-12-07,ATL,SEA,9.0,37.0,True,False,True,False,-28.0,4,9,-61.0
